Agency,AgencyFull,Sector,SubSector,Activity,Sub Activity ,Sub Activity 2,Province,District,Type_of_Location,Status,StartDate,EndDate,Inside3RP,Total,Region,P_Code,P_Code_District,AgencyFull
ASAM,ASAM,Basic Needs,Shelter,Access to adequate shelter conditions,Possible programmes for provision of shelter support in urban settings,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Basic Needs,Shelter,Access to adequate shelter conditions,Possible programmes for provision of shelter support in urban settings,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Basic Needs,Shelter,Access to adequate shelter conditions,Possible programmes for provision of shelter support in urban settings,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Provision of in-kind or monetized winter assistance,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Provision of in-kind or monetized winter assistance,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Provision of in-kind or monetized winter assistance,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Provision of in-kind or monetized assistance during influx and other emergency situations,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Provision of in-kind or monetized assistance during influx and other emergency situations,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Provision of in-kind or monetized assistance during influx and other emergency situations,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,"Provision of dignity, hygiene kits or sanitary items",,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Provision of maternity or baby kits,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Hygiene-awareness sessions,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Hygiene-awareness sessions,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Basic Needs,Basic assistance,Access to essential goods and services,Hygiene-awareness sessions,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Livelihood,Livelihood,Livelihoods support and skills development _ Increasing Educational and Livelihoods Opportunities for Urban Refugees ,,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Livelihood,Livelihood,Livelihoods support and skills development _ Increasing Educational and Livelihoods Opportunities for Urban Refugees ,,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Livelihood,Livelihood,Livelihoods support and skills development _ Increasing Educational and Livelihoods Opportunities for Urban Refugees ,,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Livelihood,Livelihood,"Improving self-reliance (counselling) and economic reliance of refugees (vocational trainings, job placement support, entrepreneurship through productive assets support / home based business grants) ",,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Livelihood,Livelihood,Vocational trainings though already establishes CC,,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Protection,Protection,Advocacy,National level,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Protection,Protection,Advocacy,National level,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Protection,Protection,Advocacy,National level,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Protection,Protection,Advocacy,Sub-national level,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Protection,Protection,Advocacy,Sub-national level,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Protection,Protection,Advocacy,Sub-national level,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Household visits,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Household visits,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Household visits,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Focus group discussions,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Focus group discussions,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Focus group discussions,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Key informant interviews,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Key informant interviews,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
ASAM,ASAM,Protection,Protection,Assessment,Key informant interviews,,Adana,Seyhan,Host Community,Ongoing,,,Yes,1,SE,TR01,TR0101104,ASAM
